,recency,hist_spend,past_discount,past_bogo,Surburban,Urban,is_referral,Web,store,offer,conversion
1,6,329.08,1,1,0,0,1,1,0,0,0
3,9,675.83,1,0,0,0,1,1,0,1,0
8,9,675.07,1,1,0,0,1,0,1,1,0
13,2,101.64,0,1,0,1,0,1,0,1,1
14,4,241.42,0,1,0,0,1,0,0,0,0
15,3,58.13,1,0,0,1,1,1,0,0,1
16,5,29.99,1,0,1,0,0,0,1,1,0
17,9,112.35,1,0,0,0,0,1,0,1,0
18,11,219.04,1,1,1,0,0,0,1,1,0
19,5,828.42,1,0,1,0,1,0,0,1,0
20,9,29.99,0,1,1,0,1,0,1,0,0
21,11,182.32,1,0,1,0,0,0,1,1,0
22,2,118.4,1,0,1,0,0,1,0,1,1
23,2,29.99,0,1,0,1,1,0,1,0,0
24,4,78.24,1,0,1,0,0,1,0,0,0
25,6,139.87,0,1,0,0,1,1,0,1,0
26,12,115.39,0,1,1,0,0,0,1,1,1
27,6,162.98,0,1,1,0,0,1,0,1,0
28,7,435.73,0,1,0,1,1,1,0,0,0
29,2,203.35,1,0,0,0,0,1,0,0,0
31,9,334.24,1,0,0,1,0,1,0,1,0
32,6,128.01,0,1,0,1,0,1,0,1,0
33,9,29.99,1,0,1,0,1,0,1,1,0
36,1,514.52,0,1,1,0,1,1,0,1,0
37,4,766.47,1,1,0,1,1,0,0,1,0
39,7,520.43,0,1,1,0,1,1,0,1,0
40,11,236.97,1,1,0,1,1,0,1,1,0
41,3,99.23,1,0,0,0,0,1,0,1,1
43,2,492.02,1,0,1,0,0,0,1,0,0
44,1,48.32,0,1,0,1,0,1,0,0,0
45,10,29.99,1,0,1,0,0,0,1,0,0
46,2,391.33,1,0,1,0,0,1,0,0,0
47,1,729.7,1,1,1,0,1,1,0,1,0
50,3,203.3,0,1,1,0,0,1,0,0,0
51,9,185.43,1,0,0,1,0,1,0,1,0
52,7,29.99,0,1,0,1,1,0,1,1,0
53,9,78.62,1,0,0,1,0,1,0,1,0
54,12,150.06,0,1,1,0,0,0,1,0,0
55,6,42.66,1,0,1,0,0,1,0,0,0
57,3,549.29,1,0,1,0,1,0,0,0,0
58,9,506.83,1,0,0,0,1,0,0,1,0
60,10,115.4,1,0,0,1,0,0,1,1,0
62,6,40.07,1,0,1,0,1,0,1,1,0
63,11,417.21,0,1,0,1,0,0,1,0,0
66,1,259.91,0,1,1,0,1,1,0,0,0
67,11,53.81,1,0,0,1,1,0,1,0,0
68,9,154.15,0,1,1,0,0,1,0,1,0
70,2,278.8,1,0,0,0,0,1,0,1,0
72,2,428.74,1,0,0,0,0,0,1,1,0
74,11,228.09,0,1,1,0,1,1,0,0,0
75,1,640.58,0,1,0,1,1,0,1,1,0
76,4,194.11,1,0,0,1,0,0,1,0,0
77,7,84.49,0,1,0,1,1,1,0,0,0
78,7,235.14,0,1,0,1,1,0,1,1,0
79,2,29.99,0,1,1,0,0,0,1,1,0
80,7,272.32,1,0,1,0,1,1,0,1,0
81,2,95.33,0,1,1,0,0,1,0,0,1
82,5,494.26,1,1,1,0,1,0,1,1,0
83,2,809.07,1,0,0,1,1,0,1,1,0
88,3,101.61,0,1,1,0,1,0,1,0,0
89,8,52.64,0,1,1,0,1,1,0,0,0
90,6,466.29,1,0,0,1,1,0,0,1,0
91,3,100.85,1,0,0,1,1,0,1,1,0
92,3,1397.57,1,0,1,0,1,0,0,1,0
93,2,770.58,0,1,1,0,1,0,1,1,0
94,3,1973.87,1,0,1,0,1,0,0,0,0
95,3,133.51,1,0,0,1,0,1,0,1,0
96,8,31.52,0,1,1,0,0,1,0,1,0
100,11,189.25,0,1,0,1,1,0,1,0,0
102,8,66.14,1,0,1,0,1,0,1,0,0
106,11,146.04,0,1,1,0,1,0,1,1,0
107,12,29.99,0,1,0,1,1,1,0,0,0
111,9,1172.42,1,1,1,0,1,1,0,1,0
112,5,244.34,0,1,0,1,1,1,0,1,0
115,9,151.01,1,0,1,0,0,1,0,0,0
116,11,35.43,1,0,0,1,1,0,1,1,0
118,3,313.6,0,1,1,0,0,0,1,0,0
119,1,117.27,0,1,0,0,0,0,1,1,0
120,5,29.99,0,1,1,0,0,1,0,0,0
122,3,683.2,1,1,0,0,1,0,0,0,0
123,1,110.07,0,1,0,1,0,1,0,1,0
125,2,29.99,0,1,0,1,0,1,0,1,0
126,11,160.04,1,0,0,0,0,1,0,1,0
127,1,418.68,0,1,1,0,0,1,0,0,0
128,11,316.23,1,0,0,1,1,0,1,1,0
130,9,329.96,0,1,1,0,1,0,1,0,0
131,7,185.73,1,0,1,0,0,0,1,1,0
133,1,616.73,0,1,0,1,1,1,0,1,0
135,3,249.71,1,0,1,0,0,0,1,0,0
136,2,46.09,0,1,0,1,0,1,0,0,0
137,8,48.87,1,0,1,0,1,1,0,1,0
139,4,270.24,1,0,0,1,1,0,1,0,0
140,9,228.8,1,0,1,0,0,0,0,1,1
143,9,162.59,0,1,0,1,0,0,1,1,1
144,12,87.62,1,0,0,1,1,0,1,1,0
145,3,29.99,1,0,1,0,0,0,1,1,0
149,2,29.99,0,1,1,0,0,0,1,1,0
151,7,229.53,1,0,1,0,0,1,0,1,1
152,1,439.93,1,1,0,0,1,0,0,0,0
156,2,289.55,0,1,0,0,0,0,1,0,1
157,5,29.99,0,1,1,0,1,0,1,1,1
158,9,274.29,1,0,1,0,0,1,0,0,0
159,1,293.37,1,0,1,0,0,0,1,0,0
160,12,29.99,1,0,0,1,1,0,1,0,0
161,1,407.09,1,0,1,0,0,1,0,0,0
162,1,142.4,0,1,1,0,0,0,1,0,0
163,1,29.99,0,1,0,1,1,1,0,1,0
164,12,284.54,1,1,1,0,0,1,0,1,0
165,2,60.2,0,1,1,0,1,1,0,0,0
166,4,1089.77,1,0,0,1,1,0,0,1,0
172,1,790.36,1,1,0,1,1,0,0,1,0
173,4,36.49,1,0,0,1,1,1,0,0,0
174,12,271.89,1,0,0,0,0,1,0,1,0
176,3,39.83,0,1,0,1,1,0,1,1,1
178,5,269.99,1,1,1,0,0,0,1,1,0
180,4,292.61,1,0,1,0,0,0,0,0,0
182,6,29.99,1,0,1,0,0,1,0,0,0
183,9,116.3,1,0,0,0,1,1,0,1,1
184,5,29.99,1,0,1,0,0,1,0,0,0
185,3,29.99,0,1,0,1,1,1,0,0,0
187,7,39.78,0,1,1,0,0,1,0,1,0
189,1,720.17,1,1,0,1,1,0,1,1,0
190,4,69.08,0,1,0,1,0,0,1,1,0
192,1,301.19,1,0,1,0,1,1,0,0,0
193,10,307.64,0,1,0,1,0,0,0,1,0
194,7,481.56,1,0,1,0,0,1,0,1,0
195,10,29.99,0,1,1,0,0,1,0,0,0
197,5,425.1,1,0,0,0,1,0,1,1,0
198,10,36.28,1,0,0,1,1,1,0,0,0
200,7,32.42,1,0,1,0,0,0,1,0,0
202,1,150.93,1,0,1,0,0,1,0,0,0
204,1,506.51,1,0,0,1,1,0,0,0,0
205,8,575.62,1,1,0,1,1,0,0,1,0
207,2,145.76,0,1,1,0,1,1,0,0,1
209,8,428.0,1,0,1,0,1,0,0,0,0
210,6,604.39,1,1,0,1,1,0,1,0,0
211,8,171.88,1,0,1,0,0,0,1,0,0
214,7,29.99,1,0,1,0,1,1,0,1,0
215,1,209.98,1,0,1,0,0,1,0,0,1
216,3,166.0,0,1,0,1,0,1,0,0,0
218,8,336.76,0,1,1,0,0,0,1,1,0
220,4,356.73,0,1,1,0,0,1,0,0,0
221,4,52.12,1,0,0,1,0,0,1,1,0
222,7,406.7,0,1,1,0,1,0,1,1,0
223,6,277.81,1,0,1,0,1,0,0,0,0
224,1,181.98,0,1,0,1,1,1,0,1,0
226,5,29.99,0,1,0,0,1,1,0,0,0
229,5,29.99,0,1,1,0,0,1,0,0,1
230,6,29.99,0,1,0,1,1,1,0,1,0
232,8,130.31,1,0,1,0,1,0,1,0,0
233,3,65.26,1,0,0,1,0,1,0,1,1
236,2,115.56,0,1,1,0,1,1,0,0,0
237,8,104.94,0,1,0,1,0,0,1,0,0
238,7,69.44,1,0,0,0,0,1,0,1,1
241,2,224.89,1,1,0,1,0,0,0,0,0
243,5,354.03,1,0,0,1,0,1,0,1,0
244,10,151.43,1,0,0,1,0,1,0,0,0
245,11,120.14,1,0,0,1,0,1,0,1,0
247,5,290.86,1,0,0,1,1,1,0,0,0
249,11,81.06,1,0,0,1,0,1,0,1,0
250,10,55.11,1,0,0,1,1,1,0,1,0
251,1,513.83,0,1,1,0,1,0,0,1,0
252,4,770.38,0,1,0,0,1,0,0,0,0
253,1,33.5,1,0,1,0,0,1,0,1,0
254,2,56.25,1,0,1,0,1,0,1,1,0
255,2,1093.92,1,1,1,0,1,1,0,0,0
256,1,752.8,1,1,0,1,1,0,1,0,0
257,2,199.95,1,0,1,0,1,0,1,0,0
258,9,239.91,0,1,0,0,0,0,1,0,0
259,8,43.16,0,1,0,1,1,0,1,0,0
260,2,418.81,0,1,1,0,0,0,0,0,0
263,3,67.4,1,0,1,0,0,1,0,1,0
265,10,54.25,0,1,1,0,0,1,0,1,0
269,7,329.26,0,1,0,1,0,1,0,1,0
270,1,29.99,1,0,0,0,1,0,1,1,0
272,5,39.52,1,0,1,0,1,0,1,1,0
273,1,307.58,1,0,1,0,0,0,0,0,0
274,6,92.32,0,1,0,1,0,0,1,1,0
278,10,375.9,0,1,0,1,0,1,0,1,0
279,9,29.99,1,0,0,1,0,1,0,1,0
280,9,220.51,1,0,0,1,0,0,0,1,0
282,6,78.69,0,1,1,0,0,0,1,1,0
284,3,376.14,1,0,1,0,0,0,1,0,0
285,1,179.63,1,0,1,0,0,0,1,1,1
287,8,59.76,0,1,0,1,1,1,0,1,0
291,4,320.17,0,1,0,1,1,0,1,1,0
292,1,103.07,1,0,1,0,0,1,0,1,0
293,10,35.84,1,0,0,1,1,0,1,0,0
295,2,90.91,1,0,1,0,0,1,0,1,0
296,5,215.03,0,1,0,1,1,1,0,0,0
297,1,856.4,0,1,0,1,1,1,0,0,0
298,10,139.83,1,0,0,1,1,0,1,1,0
299,10,245.09,1,0,0,1,0,0,0,0,0
300,6,127.2,0,1,1,0,0,0,1,0,0
301,1,470.65,1,0,0,1,0,0,1,1,0
302,1,59.13,1,0,0,1,1,1,0,1,0
303,3,327.1,1,0,1,0,1,1,0,0,0
304,1,399.72,1,1,1,0,0,0,1,1,1
305,3,29.99,1,0,0,1,0,0,1,0,0
306,6,398.03,1,1,1,0,0,0,1,0,0
307,4,134.24,0,1,0,1,0,1,0,1,1
308,10,290.55,0,1,1,0,0,1,0,1,0
309,7,29.99,1,0,1,0,0,1,0,0,0
310,4,87.69,1,0,1,0,0,1,0,1,0
312,12,465.37,0,1,0,0,1,0,0,0,0
315,1,188.89,0,1,1,0,1,1,0,0,0
316,4,49.8,1,0,0,1,1,1,0,1,0
318,3,229.42,0,1,0,0,0,0,0,0,0
319,1,253.18,0,1,1,0,0,0,0,1,0
320,2,156.4,0,1,1,0,0,1,0,1,0
322,4,557.47,1,0,0,1,1,1,0,0,0
